record_id,tag,country_name,formation,hq_region,reference_date,current_general,candidate_general,first_name,last_name,historical_birth_date,birth_date_precision,historical_birth_place,historical_birth_country_or_polity,mapped_v3_birth_state,death_date,military_rank_1776,military_role_1776,command_or_office_start,command_or_office_end,active_on_1776_01_01,mapping_type,identity_confidence,formation_mapping_confidence,culture_recommendation,religion_recommendation,interest_group_recommendation,ideology_recommendation,trait_recommendations,existing_mod_character,existing_mod_template,existing_mod_dna,dna_id,portrait_reference_available,implementation_decision,recommended_action,source_1,source_2,source_3,notes
GEN1776-018,FRA,France — French Windward Islands / Antilles formation,cleanup2d3b_fra_land_4,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-018),"Vital-Auguste de Grégoire, comte de Nozières",Vital-Auguste,"de Grégoire, comte de Nozières",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Maréchal de camp,Commandant général des îles françaises du Vent; senior royal land-military authority in the Windward Islands,appointed by the Crown by late 1771 / in office by 1772,1776-03 (succeeded in 1776; exact day not relied upon for eligibility),YES,THEATRE_COMMAND,HIGH,MEDIUM-HIGH,french,"catholic (MEDIUM; recommendation, not independently proven in this audit)",ig_armed_forces,NO_SPECIFIC_IDEOLOGY,experienced_colonial_commander; no stronger gameplay trait without later trait-ID review,NO,NO,NO,,NO_CONFIRMED_PORTRAIT,USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcgm%3AEADC%3AMAR020130,https://ccfr.bnf.fr/portailccfr/ark:/16871/004MAR011103,https://bureaudumercure.org/mercure/node/1044875,"The mod formation is a generated Caribbean abstraction and also contains one metropolitan unit; it did not literally exist under this name. Contemporary/BnF material identifies Nozières as maréchal de camp and commandant général of the French Windward Islands. A January 1772 Mercure de France notice records the royal appointment, making him safely active by 1776-01-01. François-Claude-Amour de Bouillé (1777) and Robert d'Argout (later in 1776) are chronology-rejected. Birth year sometimes given as 1715 in tertiary lists was NOT promoted to an exact/accepted birth field here."
GEN1776-019,GBR,Great Britain — North American / Atlantic land command abstraction,cleanup2d3b_gbr_land_2,region_atlantic_coast,1776-01-01,William Howe (named historical general created by CLEANUP-2D-4),"William Howe, 5th Viscount Howe",William,Howe,1729-08-10,DAY,"Exact birthplace not confirmed in the priority sources consulted; Howe family seat was Langar Hall, Nottinghamshire",Kingdom of Great Britain,"STATE_MIDLANDS (TENTATIVE; based on Nottinghamshire family-seat association, not a proven birthplace)",1814-07-12,Major-General; Commander-in-Chief of British land forces in North America,"Commander-in-Chief, British military land forces in North America",1775-10,1778-05,YES,THEATRE_COMMAND,HIGH,MEDIUM-HIGH,british,"protestant (MEDIUM; likely Anglican abstraction, not a primary-source finding of this audit)",ig_armed_forces,NO_SPECIFIC_IDEOLOGY,experienced_officer; offensive_field_command experience; exact Victoria 3 trait IDs to review later,YES_CURRENT_SCRIPT_CREATION,NO,NO,,YES — National Portrait Gallery mezzotint published 1778,USE_HISTORICAL_GENERAL,RETAIN_CURRENT_HISTORICAL_IDENTITY; ENRICH_PROFILE; FUTURE_DNA_RESEARCH,https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/british-army-operations-up-to-1913/,https://www.mountvernon.org/library/digitalhistory/digital-encyclopedia/article/sir-william-howe,https://www.npg.org.uk/collections/search/person/mp124228/william-howe-5th-viscount-howe,"Howe is already a correct named historical choice in CLEANUP-2D-4. The mapping is theatre-level: the game formation is not a literal historical Bermuda army, but Howe was already commander-in-chief of British land forces in North America before 1776-01-01. Do not invent an exact birthplace from the Langar Hall association."
GEN1776-022,GBR,Great Britain — Bahamas / West Indies formation,cleanup2d3b_gbr_land_3,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-022),NONE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_DEFENSIBLE_ACTIVE_LAND_COMMANDER_IDENTIFIED,Existing formation represents a small Bahamas/West Indies land force; no admissible named commander identified with sufficient evidence for 1776-01-01,UNKNOWN,UNKNOWN,NO,NO_DEFENSIBLE_MAPPING,N/A,HIGH (for rejection),,,,,,NO,NO,NO,,N/A,KEEP_PROCEDURAL,KEEP_PROCEDURAL,https://founders.archives.gov/documents/Washington/03-06-02-0283,https://www.history.navy.mil/browse-by-topic/ships/ships-of-sail/alfred.html,https://founders.archives.gov/documents/Washington/03-04-02-0038,"Montfort Browne, Governor of the Bahamas, was specifically rejected. William Howe wrote in September 1776 that Browne was 'no longer in the military Line'; the Founders Online annotation states Browne had retired from the 35th Foot as a lieutenant on half-pay at the end of the Seven Years' War. His later Loyalist brigadier appointment in 1777 is after the absolute reference date. Governor status and handling of island defenses are insufficient to convert him into a 1776-01-01 general."
GEN1776-067,SPA,Spain — Caribbean / Spanish West Indies formation,cleanup2d3b_spa_land_3,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-067),"José Francisco Antonio Solano y Bote, Marqués del Socorro",José Francisco Antonio,Solano y Bote,1726-03-06,DAY,"Zorita, Cáceres, Extremadura",Kingdom of Spain,STATE_EXTREMADURA,1806-03-24,Brigadier de Marina (NOT yet Jefe de Escuadra on 1776-01-01),Governor and Captain General of Spanish Santo Domingo; documented responsibility for frontier troops and colonial land defense,by 1771; securely attested in office before 1776,after 1776 (exact end not required for eligibility and not forced here),YES,MILITARY_OFFICEHOLDER,HIGH,MEDIUM,spanish,catholic (MEDIUM; historical recommendation),ig_armed_forces,NO_SPECIFIC_IDEOLOGY,colonial_defense_experience; logistics/expedition experience; exact gameplay IDs to review later,NO,NO,NO,,YES — Real Academia de la Historia / biographical portrait material,USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://historia-hispanica.rah.es/biografias/99500-jose-francisco-antonio-solano-y-bote,https://pares.mcu.es/ParesBusquedas20/catalogo/find?archivo=10&idAut=99500&idFI=18&nomAut=Ascensos+militares&tipoAsocAut=1,https://colecciones.agn.gob.do/opac/busca.php?codopac=OPPUB&formTipo=0&lautor=SOLANO%2C+JOSEPH,"EDGE CASE. Solano is NOT accepted merely because he was a naval officer. A 1775-1777 PARES promotion file shows him still as Brigadier de Marina while Governor of Santo Domingo; Dominican archival descriptions independently document him as Governor/Captain General and connect him to troop designation, frontier inspection and island defense. That independent land-command evidence makes a general-style MILITARY_OFFICEHOLDER mapping defensible. The mod formation is broader than Santo Domingo and even includes a Galicia element, so formation mapping confidence is only MEDIUM."
GEN1776-087,USA,United States / Thirteen Colonies — Continental Army abstraction,cleanup2d3b_usa_land_1,region_atlantic_coast,1776-01-01,George Washington (CLEANUP-2D-4 named historical; appearance currently procedural because DNA was omitted),George Washington,George,Washington,1732-02-22,DAY,"Pope's Creek, Westmoreland County, Colony of Virginia","Colony of Virginia, British America",STATE_VIRGINIA,1799-12-14,General and Commander in Chief of the Army of the United Colonies / Continental Army,Commander-in-Chief of the Continental Army,1775-06-19 commission; assumed field command 1775-07-03,1783-12-23,YES,HIGHER_COMMAND_ABSTRACTION,VERY_HIGH,HIGH,dixie (Victoria 3 abstraction for an Anglo-Virginian born in colonial Virginia; not a historical self-label),protestant (historically Anglican),ig_armed_forces; social-origin note: Virginia planter/gentry makes ig_landowners plausible only as secondary context,NO_SPECIFIC_IDEOLOGY — do not automatically restore old laissez_faire or other template ideology,surveyor is biographically defensible; re-audit any old commander traits individually before implementation,YES_CURRENT_SCRIPT_CREATION,NO_CURRENT; OLD_TEMPLATE=USA_washington_traitor,YES,dna_washington_traitor,"YES — multiple contemporary/near-contemporary portraits, including Charles Willson Peale (1776)",USE_HISTORICAL_GENERAL,REUSE_EXISTING_MOD_DNA,https://founders.archives.gov/documents/Washington/03-01-02-0004,https://www.mountvernon.org/george-washington/george-washington-key-facts,https://guides.loc.gov/washington-commission,"MANDATORY WASHINGTON CASE. Repo audit confirms common/dna_data/00_washington_traitor.txt contains dna_washington_traitor; the old USA_washington_traitor template used dna = dna_washington_traitor. CLEANUP-2D-4 currently creates Washington directly in military_formations without that DNA, causing procedural appearance. Reuse ONLY the DNA automatically. Birth, culture, religion, IG, ideology, traits and origin must be historically re-evaluated; this row does so. His Continental commission predates the reference date by more than six months."
GEN1776-088,HAI,HAI tag — French Saint-Domingue / Haiti gameplay abstraction,ArmeeIndigene,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-088),"Victor-Thérèse Charpentier d'Ennery, comte d'Ennery",Victor-Thérèse,Charpentier d'Ennery,1732-03-24,DAY,Paris,Kingdom of France,STATE_ILE_DE_FRANCE,1776-12-13,Maréchal des camps et armées du Roi,"Inspecteur-général d'infanterie; Directeur-général des troupes, fortifications, artillerie et milices de toutes les colonies; Gouverneur-lieutenant-général des Isles françaises Sous le Vent",1775; office and military titles directly attested 1775-10-23,1776-12-13,YES,MILITARY_OFFICEHOLDER,HIGH,MEDIUM-HIGH,french,catholic (MEDIUM; French royal noble/officer recommendation),ig_armed_forces,NO_SPECIFIC_IDEOLOGY,experienced_colonial_commander; infantry/artillery/fortification administration expertise; exact trait IDs later,NO,NO,NO,,"YES — Houdon memorial portrait medallion (1781), Louvre",USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://artfl-permalink.uchicago.edu/permalinks/brownhaiti,https://collections.louvre.fr/ark:/53355/cl010094527,https://ennery.fr/decouvrir/victor-therese-charpentier/,"The formation name ArmeeIndigene is anachronistic for 1776 and must NOT be claimed as a literal historical unit. D'Ennery is mapped to the territory's actual French colonial land-military high office. The 23 Oct 1775 ordinance directly lists his military titles, making eligibility on 1776-01-01 unusually strong. Toussaint Louverture and Jean-Jacques Dessalines are chronology-rejected as future revolutionary commanders, not active military commanders at this date."
GEN1776-089,CUB,Cuba — Spanish colonial Captaincy General,MiliciasdeCuba,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-089),"Felipe de Fonsdeviela y Ondeano, II Marqués de la Torre",Felipe,de Fonsdeviela y Ondeano,1725,YEAR,Zaragoza,Kingdom of Spain,STATE_ARAGON,1784,Mariscal de campo,"Governor and Captain General of Cuba; senior military authority over colonial defense, troops and militia",1771,1777,YES,MILITARY_OFFICEHOLDER,VERY_HIGH,HIGH,spanish,catholic (HIGH-MEDIUM; Knight of the Order of Santiago and Spanish royal service),ig_armed_forces,NO_SPECIFIC_IDEOLOGY,militia_organization; fortification/defensive administration; exact gameplay IDs later,NO,NO,NO,,YES — PARES authority record includes an image,USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://pares.mcu.es/ParesBusquedas20/catalogo/autoridad/143953,https://pares.mcu.es/ParesBusquedas20/catalogo/description/13351152,https://pares.mcu.es/ParesBusquedas20/catalogo/description/13317310/imprimir,"PARES identifies Fonsdeviela as a Spanish military officer, promoted mariscal de campo in 1770, Governor and Captain General of Cuba 1771-1777. PARES defense records index artillery, cavalry, infantry, troops, fortifications and military reports under his Captaincy General. This is a strong direct mapping to the mod's Cuba militia formation. Only the birth YEAR 1725 is used; no arbitrary day/month is invented."
GEN1776-090,PCO,Puerto Rico — Spanish colonial Captaincy General,MiliciasDiciplinadas,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-090),Miguel de Muesas,Miguel,de Muesas,ca. 1715 (unconfirmed),UNKNOWN,"Trujillo, Extremadura",Kingdom of Spain,STATE_EXTREMADURA,1783-07-26,Coronel de Infantería de los Reales Ejércitos,Governor and Captain General of Puerto Rico; military and political administration of the island and its disciplined militia system,1769,1776 (exact day not forced),YES,MILITARY_OFFICEHOLDER,HIGH,VERY_HIGH,spanish,catholic (DIRECTLY ATTESTED in his 1782 testament),ig_armed_forces,NO_SPECIFIC_IDEOLOGY,militia/fortification administration; defensive_planner only if gameplay evidence threshold is accepted later,NO,NO,NO,,NO_CONFIRMED_PORTRAIT,USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://books.google.com/books/about/Eighteenth_century_Reforms_in_the_Caribb.html?id=z0hHaBQF2z8C,https://chdetrujillo.com/alguna-noticia-sobre-el-militar-trujillano-don-miguel-de-muesas-1715-1783-gobernador-de-puerto-rico-durante-el-reinado-de-carlos-iii/,https://enciclopediapr.org/content/cronologia-de-gobernadores-del-siglo-xviii/,"Altagracia Ortiz's university-press monograph explicitly treats Muesas as Governor and Captain General 1769-1776 and devotes a chapter to his military/political administration; its indexed terms include Milicias Disciplinadas. The Trujillo historical study transcribes his 1782 testament: colonel of infantry, former Governor/Captain General, native of Trujillo and explicitly Roman Catholic; it documents death on 26 July 1783. The frequently repeated birth year 1715 is not securely proven, so precision remains UNKNOWN instead of fabricating 1715-01-01. A successor arriving later in 1776 would fail the date gate."
GEN1776-091,HBC,Hudson's Bay Company,cleanup2d3b_hbc_land_1,region_canada,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-091),NONE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_DEFENSIBLE_LAND_MILITARY_COMMANDER,"HBC inland post/trading personnel, not an army high command",UNKNOWN,UNKNOWN,NO,NO_DEFENSIBLE_MAPPING,N/A,HIGH (for rejection),,,,,,NO,NO,NO,,N/A,KEEP_PROCEDURAL,KEEP_PROCEDURAL,https://www.biographi.ca/en/bio/hearne_samuel_4F.html?revision_id=6805,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=736,https://www.biographi.ca/en/bio/jacobs_ferdinand_4E.html,"Samuel Hearne and Matthew Cocking were reviewed and rejected as general candidates: the HBC's 'land service' terminology is company service, not an army commission. Hearne founded Cumberland House as a trading post, then was appointed chief at Prince of Wales Fort and did not reach it until 17 Jan 1776, after the reference date. The Dictionary of Canadian Biography later notes Prince of Wales Fort lacked a military garrison. Ferdinand Jacobs had retired in 1775. The mod's one-unit Manitoba army is a gameplay abstraction; no named land commander is defensible enough to replace the procedural general."
GEN1776-092,MKT,Miskito Kingdom / Mosquito Kingdom,cleanup2d3b_mkt_land_1,region_central_america,1776-01-01,PROCEDURAL (CLEANUP-2D-4 GEN1776-092),Tempest,Tempest,[mononym / family name not securely recorded in the consulted evidence],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,by ca. 1785 (exact date unknown),General — Miskito political-military office/title,Miskito General; regional political-military leader with troops documented at Río Negro and authority centered around Brewers Lagoon / Patuca,ca. 1764,ca. 1785,YES,MILITARY_OFFICEHOLDER,MEDIUM-HIGH,MEDIUM,miskito,UNKNOWN — do not force an animist or Protestant value from insufficient individual evidence,ig_armed_forces (gameplay abstraction for a political-military officeholder),NO_SPECIFIC_IDEOLOGY,no high-confidence gameplay trait; military leadership is established but biography is sparse,NO,NO,NO,,NO_CONFIRMED_PORTRAIT,USE_HISTORICAL_GENERAL,REPLACE_PROCEDURAL_WITH_HISTORICAL_GENERAL; FUTURE_DNA_RESEARCH,https://www.jstor.org/stable/i220998,https://pueblosoriginarios.com/textos/miskito/generales.html,https://pueblosoriginarios.com/textos/miskito/lineas_sucesion.html,"Michael D. Olien's Ethnohistory article reconstructs a distinct Miskito office of General and places Tempest approximately 1764-c.1785. The accessible transcription describes him as a powerful leader based at Brewers Lagoon near the Patuca; in 1764 his troops were stationed at Río Negro, and a Spanish 1776 report referred to him as Captain Tempest receiving arms/powder. This avoids converting the Miskito king: a genuine non-sovereign military-political General office existed. Because his personal birth data and even full naming are sparse, no date/place/religion is invented. Mapping is medium because the game's STATE_NICARAGUA formation is a broad Mosquito Coast abstraction."
